Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 435, Diff=0.000115032
Step 436, Diff=0.000114816
Step 437, Diff=0.000114602
Step 438, Diff=0.000114388
Step 439, Diff=0.000114175
Step 440, Diff=0.000113963
Step 441, Diff=0.000113751
Step 442, Diff=0.000113541
Step 443, Diff=0.000113331
Step 444, Diff=0.000113123
Step 445, Diff=0.000112915
Step 446, Diff=0.000112707
Step 447, Diff=0.000112501
Step 448, Diff=0.000112296
Step 449, Diff=0.000112091
Step 450, Diff=0.000111887
Step 451, Diff=0.000111684
Step 452, Diff=0.000111482
Step 453, Diff=0.00011128
Step 454, Diff=0.000111079
Step 455, Diff=0.00011088
Step 456, Diff=0.00011068
Step 457, Diff=0.000110482
Step 458, Diff=0.000110284
Step 459, Diff=0.000110087
Step 460, Diff=0.000109891
Step 461, Diff=0.000109696
Step 462, Diff=0.000109501
Step 463, Diff=0.000109307
Step 464, Diff=0.000109114
Step 465, Diff=0.000108922
Step 466, Diff=0.00010873
Step 467, Diff=0.000108539
Step 468, Diff=0.000108349
Step 469, Diff=0.00010816
Step 470, Diff=0.000107971
Step 471, Diff=0.000107783
Step 472, Diff=0.000107595
Step 473, Diff=0.000107409
Step 474, Diff=0.000107223
Step 475, Diff=0.000107037
Step 476, Diff=0.000106853
Step 477, Diff=0.000106669
Step 478, Diff=0.000106486
Step 479, Diff=0.000106303
Step 480, Diff=0.000106121
Step 481, Diff=0.00010594
Step 482, Diff=0.000105759
Step 483, Diff=0.000105579
Step 484, Diff=0.0001054
Step 485, Diff=0.000105222
Step 486, Diff=0.000105044
Step 487, Diff=0.000104866
Step 488, Diff=0.00010469
Step 489, Diff=0.000104514
Step 490, Diff=0.000104338
Step 491, Diff=0.000104163
Step 492, Diff=0.000103989
Step 493, Diff=0.000103816
Step 494, Diff=0.000103643
Step 495, Diff=0.000103471
Step 496, Diff=0.000103299
Step 497, Diff=0.000103128
Step 498, Diff=0.000102958
Step 499, Diff=0.000102788
Step 500, Diff=0.000102618
Step 501, Diff=0.00010245
Step 502, Diff=0.000102282
Step 503, Diff=0.000102114
Step 504, Diff=0.000101947
Step 505, Diff=0.000101781
Step 506, Diff=0.000101615
Step 507, Diff=0.00010145
Step 508, Diff=0.000101286
Step 509, Diff=0.000101122
Step 510, Diff=0.000100958
Step 511, Diff=0.000100796
Step 512, Diff=0.000100633
Step 513, Diff=0.000100472
Step 514, Diff=0.00010031
Step 515, Diff=0.00010015
Step 516, Diff=9.99897e-05
Step 517, Diff=9.98302e-05
Step 518, Diff=9.96712e-05
Step 519, Diff=9.95128e-05
Step 520, Diff=9.93549e-05
Step 521, Diff=9.91975e-05
Step 522, Diff=9.90407e-05
Step 523, Diff=9.88844e-05
Step 524, Diff=9.87286e-05
Step 525, Diff=9.85734e-05
Step 526, Diff=9.84186e-05
Step 527, Diff=9.82644e-05
Step 528, Diff=9.81107e-05
Step 529, Diff=9.79576e-05
Step 530, Diff=9.78049e-05
Step 531, Diff=9.76527e-05
Step 532, Diff=9.75011e-05
Step 533, Diff=9.73499e-05
Step 534, Diff=9.71993e-05
Step 535, Diff=9.70491e-05
Step 536, Diff=9.68995e-05
Step 537, Diff=9.67503e-05
Step 538, Diff=9.66017e-05
Step 539, Diff=9.64535e-05
Step 540, Diff=9.63058e-05
Step 541, Diff=9.61585e-05
Step 542, Diff=9.60118e-05
Step 543, Diff=9.58655e-05
Step 544, Diff=9.57198e-05
Step 545, Diff=9.55745e-05
Step 546, Diff=9.54296e-05
Step 547, Diff=9.52852e-05
Step 548, Diff=9.51413e-05
Step 549, Diff=9.49979e-05
Step 550, Diff=9.48549e-05
Step 551, Diff=9.47124e-05
Step 552, Diff=9.45703e-05
Step 553, Diff=9.44287e-05
Step 554, Diff=9.42875e-05
Step 555, Diff=9.41468e-05
Step 556, Diff=9.40065e-05
Step 557, Diff=9.38667e-05
Step 558, Diff=9.37273e-05
Step 559, Diff=9.35884e-05
Step 560, Diff=9.34499e-05
Step 561, Diff=9.33118e-05
Step 562, Diff=9.31742e-05
Step 563, Diff=9.3037e-05
Step 564, Diff=9.29002e-05
Step 565, Diff=9.27639e-05
Step 566, Diff=9.2628e-05
Step 567, Diff=9.24925e-05
Step 568, Diff=9.23574e-05
Step 569, Diff=9.22228e-05
Step 570, Diff=9.20886e-05
Step 571, Diff=9.19547e-05
Step 572, Diff=9.18213e-05
Step 573, Diff=9.16884e-05
Step 574, Diff=9.15558e-05
Step 575, Diff=9.14236e-05
Step 576, Diff=9.12918e-05
Step 577, Diff=9.11605e-05
Step 578, Diff=9.10295e-05
